,0,1,2,3
0,Andaman and Nicobar,166,109,0
1,Andhra Pradesh,31103,16464,365
2,Arunachal Pradesh,387,145,2
3,Assam,16806,10894,36
4,Bihar,17959,12317,160
5,Chandigarh,588,423,8
6,Chhattisgarh,4217,3202,19
7,Dadra and Nagar Haveli and Daman,495,268,1
8,Daman and Diu,0,0,0
9,Delhi,113740,91312,3411
10,Goa,2583,1540,17
11,Gujarat,42722,29770,2055
12,Haryana,21894,16602,308
13,Himachal Pradesh,1243,940,11
14,Jammu and Kashmir,10827,6095,187
15,Jharkhand,3898,2351,33
16,Karnataka,41581,16248,757
17,Kerala,8322,4257,33
18,Ladakh,1093,946,1
19,Lakshadweep,0,0,0
20,Maharashtra,260924,144507,10482
21,Manipur,1626,970,0
22,Meghalaya,318,66,2
23,Mizoram,233,151,0
24,Madhya Pradesh,18207,13208,663
25,Nagaland,845,340,0
26,Odisha,13737,9255,70
27,Puducherry,1468,785,18
28,Punjab,8178,5586,204
29,Rajasthan,24936,18630,525
30,Sikkim,192,86,0
31,Tamil Nadu,142798,92567,2032
32,Telengana,36221,23679,365
33,Tripura,2080,1475,2
34,Uttar Pradesh,38130,24203,955
35,Uttarakhand,3608,2856,49
36,West Bengal,31448,19213,956
